age,sex,time,sim,rate
40-44,Female,2021,8,0.0059413
40-44,Female,2021,9,0.005976
40-44,Female,2021,10,0.0058901
40-44,Female,2021,11,0.0064836
40-44,Female,2021,12,0.0061424
40-44,Female,2021,13,0.0058827
40-44,Female,2021,14,0.0060431
40-44,Female,2021,15,0.0062267
40-44,Female,2021,16,0.0061565
40-44,Female,2021,17,0.0059626
40-44,Female,2021,18,0.0059961
40-44,Female,2021,19,0.006169
40-44,Female,2021,20,0.0060752
45-49,Female,2019,1,0.0079052
45-49,Female,2019,2,0.0081101
45-49,Female,2019,3,0.0078308
45-49,Female,2019,4,0.0077528
45-49,Female,2019,5,0.0079818
45-49,Female,2019,6,0.0080058
45-49,Female,2019,7,0.0079153
45-49,Female,2019,8,0.0080187
45-49,Female,2019,9,0.0080005
45-49,Female,2019,10,0.0079406
45-49,Female,2019,11,0.0082199
45-49,Female,2019,12,0.0081799
45-49,Female,2019,13,0.0079045
45-49,Female,2019,14,0.007841
45-49,Female,2019,15,0.0080072
45-49,Female,2019,16,0.0077099000000000004
45-49,Female,2019,17,0.008139
45-49,Female,2019,18,0.0078993
45-49,Female,2019,19,0.0080897
45-49,Female,2019,20,0.0079407
45-49,Female,2020,1,0.0070285
45-49,Female,2020,2,0.007285
45-49,Female,2020,3,0.0071412
45-49,Female,2020,4,0.0071413
45-49,Female,2020,5,0.0072492
45-49,Female,2020,6,0.0072453
45-49,Female,2020,7,0.0072965
45-49,Female,2020,8,0.0070262
45-49,Female,2020,9,0.0070048
45-49,Female,2020,10,0.0071589
45-49,Female,2020,11,0.0073652
45-49,Female,2020,12,0.0071174
45-49,Female,2020,13,0.0073253
45-49,Female,2020,14,0.0073471
45-49,Female,2020,15,0.0069958
45-49,Female,2020,16,0.0069628
45-49,Female,2020,17,0.0074625
45-49,Female,2020,18,0.0069611
45-49,Female,2020,19,0.0072621
45-49,Female,2020,20,0.0069862
45-49,Female,2021,1,0.005872
45-49,Female,2021,2,0.0059761
45-49,Female,2021,3,0.0058657
45-49,Female,2021,4,0.0058418
45-49,Female,2021,5,0.0060426
45-49,Female,2021,6,0.0059657
45-49,Female,2021,7,0.0058
45-49,Female,2021,8,0.0058448
45-49,Female,2021,9,0.0057489
